timestamp;customer_no;location
2023-01-02 08:21:00;0;entrance
2023-01-02 08:22:00;0;drinks
2023-01-02 08:23:00;0;checkout
2023-01-02 19:06:00;1;entrance
2023-01-02 19:07:00;1;fruit
2023-01-02 19:08:00;1;checkout
2023-01-02 13:35:00;2;entrance
2023-01-02 13:36:00;2;dairy
2023-01-02 13:37:00;2;checkout
2023-01-02 20:42:00;3;entrance
2023-01-02 20:43:00;3;spices
2023-01-02 20:44:00;3;dairy
2023-01-02 20:45:00;3;fruit
2023-01-02 20:46:00;3;dairy
2023-01-02 20:47:00;3;drinks
2023-01-02 20:48:00;3;checkout
2023-01-02 08:36:00;4;entrance
2023-01-02 08:37:00;4;drinks
2023-01-02 08:38:00;4;checkout
2023-01-02 17:12:00;5;entrance
2023-01-02 17:13:00;5;fruit
2023-01-02 17:14:00;5;checkout
2023-01-02 08:10:00;6;entrance
2023-01-02 08:11:00;6;dairy
2023-01-02 08:12:00;6;drinks
2023-01-02 08:13:00;6;spices
2023-01-02 08:14:00;6;dairy
2023-01-02 08:15:00;6;drinks
2023-01-02 08:16:00;6;spices
2023-01-02 08:17:00;6;checkout
2023-01-02 08:32:00;7;entrance
2023-01-02 08:33:00;7;dairy
2023-01-02 08:34:00;7;checkout
2023-01-02 10:01:00;8;entrance
2023-01-02 10:02:00;8;fruit
2023-01-02 10:03:00;8;drinks
2023-01-02 10:04:00;8;spices
2023-01-02 10:05:00;8;dairy
2023-01-02 10:06:00;8;drinks
2023-01-02 10:07:00;8;fruit
2023-01-02 10:08:00;8;checkout
2023-01-02 07:03:00;9;entrance
2023-01-02 07:04:00;9;fruit
2023-01-02 07:05:00;9;drinks
2023-01-02 07:06:00;9;checkout
2023-01-02 19:38:00;10;entrance
2023-01-02 19:39:00;10;fruit
2023-01-02 19:40:00;10;dairy
2023-01-02 19:41:00;10;drinks
2023-01-02 19:42:00;10;checkout
2023-01-02 17:50:00;11;entrance
2023-01-02 17:51:00;11;fruit
2023-01-02 17:52:00;11;spices
2023-01-02 17:53:00;11;dairy
2023-01-02 17:54:00;11;drinks
2023-01-02 17:55:00;11;dairy
2023-01-02 17:56:00;11;drinks
2023-01-02 17:57:00;11;checkout
2023-01-02 17:48:00;12;entrance
2023-01-02 17:49:00;12;fruit
2023-01-02 17:50:00;12;dairy
2023-01-02 17:51:00;12;fruit
2023-01-02 17:52:00;12;dairy
2023-01-02 17:53:00;12;fruit
2023-01-02 17:54:00;12;spices
2023-01-02 17:55:00;12;fruit
2023-01-02 17:56:00;12;drinks
2023-01-02 17:57:00;12;checkout
2023-01-02 12:47:00;13;entrance
2023-01-02 12:48:00;13;fruit
2023-01-02 12:49:00;13;spices
2023-01-02 12:50:00;13;drinks
2023-01-02 12:51:00;13;spices
2023-01-02 12:52:00;13;checkout
2023-01-02 14:08:00;14;entrance
2023-01-02 14:09:00;14;fruit
2023-01-02 14:10:00;14;spices
2023-01-02 14:11:00;14;checkout
2023-01-02 17:27:00;15;entrance
2023-01-02 17:28:00;15;fruit
2023-01-02 17:29:00;15;checkout
2023-01-02 14:23:00;16;entrance
